Date/time,Temp,Humidity,Air pressure,Lux,NO2,CH4
5/17/2019 9:06:12,20,44,100,52,0,58
5/17/2019 9:37:30,19,44,100,64,5,61
5/17/2019 9:37:32,19,44,100,64,5,60
5/17/2019 9:37:29,19,44,100,65,1,64
5/17/2019 9:37:31,19,44,100,65,1,65
5/17/2019 9:37:43,19,44,100,65,0,65
5/17/2019 9:37:58,19,44,100,63,0,65
5/17/2019 9:38:13,20,44,100,56,0,67
5/17/2019 9:38:28,20,44,100,60,0,68
5/17/2019 9:38:43,20,44,100,58,0,68
5/17/2019 9:38:58,20,44,100,59,0,68
5/17/2019 9:39:31,20,44,100,58,0,68
5/17/2019 9:39:33,20,44,100,58,0,68
5/17/2019 9:39:45,20,44,100,59,0,69
5/17/2019 9:40:00,20,44,100,59,0,70
